monomer,log_r,mol1_HOMO_1,mol1_HOMO,mol1_LUMO,mol1_LUMO_Add1,mol2_HOMO_1,mol2_HOMO,mol2_LUMO,mol2_LUMO_Add1,rad1_HOMO_1,rad1_HOMO,rad1_LUMO,rad1_LUMO_Add1
"Oxazoline, 2-, 2-isopropenyl-.Styrene",0.64,-0.2284,-0.200261,-0.062436,0.02659,-0.230012,-0.203579,-0.064886,-0.034535,-0.204315,-0.160277,-0.110536,0.023523
"Oxazoline, 2-, 2-isopropenyl-.Styrene",0.68,-0.2284,-0.200261,-0.062436,0.02659,-0.230012,-0.203579,-0.064886,-0.034535,-0.204315,-0.160277,-0.110536,0.023523
Acrylonitrile.Vinyltrimethylsilane,4.08,-0.307886,-0.266671,-0.092915,-0.013216,-0.255616,-0.233763,-0.037205,0.022599,-0.292009,-0.205459,-0.14659,-0.015383
Acrylonitrile.Vinyltrimethylsilane,4.08,-0.307886,-0.266671,-0.092915,-0.013216,-0.255616,-0.233763,-0.037205,0.022599,-0.292009,-0.205459,-0.14659,-0.015383
"Citraconate, dibenzyl.Styrene",0.047,-0.221966,-0.219152,-0.079531,-0.043276,-0.230012,-0.203579,-0.064886,-0.034535,-0.215363,-0.184527,-0.13782,-0.044014
"Citraconate, dibenzyl.Styrene",0.047,-0.221966,-0.219152,-0.079531,-0.043276,-0.230012,-0.203579,-0.064886,-0.034535,-0.215363,-0.184527,-0.13782,-0.044014
"Acrylonitrile.Phosphate, diethyl isopropenyl",15.2,-0.307886,-0.266671,-0.092915,-0.013216,-0.257526,-0.210185,-0.013933,0.019706,-0.292009,-0.205459,-0.14659,-0.015383
"Acrylate, ethyl.Benzofuran, 2-vinyl-",0.015,-0.256191,-0.231242,-0.078408,0.030931,-0.214744,-0.189625,-0.072416,-0.02566,-0.222788,-0.194689,-0.138768,0.014338
"Furan, 2-vinyl-5-methyl.Methacrylate, methyl",0.867,-0.24601,-0.176729,-0.052524,0.019673,-0.242223,-0.232505,-0.073856,0.03591,-0.212847,-0.125954,-0.088458,0.005027
"Furan, 2-vinyl-5-methyl.Methacrylate, methyl",0.867,-0.24601,-0.176729,-0.052524,0.019673,-0.242223,-0.232505,-0.073856,0.03591,-0.212847,-0.125954,-0.088458,0.005027
